Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
config | reward=dense | steps=1500 | group=8 | bsz=2 | lr=3e-06 | max_new_tokens=128 | out=model_dense
step    0 | loss -0.1417 | reward 0.019 | solved   0.0%
step    1 | loss +0.1565 | reward 0.022 | solved   0.0%
step    2 | loss +0.0695 | reward 0.057 | solved   0.0%
step    3 | loss +0.1878 | reward 0.038 | solved   0.0%
step    4 | loss +0.3023 | reward 0.060 | solved   0.0%
step    5 | loss +0.3612 | reward 0.044 | solved   0.0%
step    6 | loss +0.0435 | reward 0.057 | solved   0.0%
step    7 | loss +0.0612 | reward 0.035 | solved   0.0%
step    8 | loss +0.0293 | reward 0.054 | solved   0.0%
step    9 | loss +0.0505 | reward 0.045 | solved   0.0%
step   10 | loss +0.3578 | reward 0.038 | solved   0.0%
step   11 | loss +0.1275 | reward 0.044 | solved   0.0%
step   12 | loss +0.0018 | reward 0.050 | solved   0.0%
step   13 | loss +0.0356 | reward 0.051 | solved   0.0%
step   14 | loss +0.0469 | reward 0.075 | solved   0.0%
step   15 | loss +0.2085 | reward 0.050 | solved   0.0%
step   16 | loss +0.0482 | reward 0.157 | solved   0.0%
step   17 | loss +0.0338 | reward 0.119 | solved   0.0%
step   18 | loss -0.0241 | reward 0.046 | solved   0.0%
step   19 | loss +0.1182 | reward 0.058 | solved   0.0%
step   20 | loss +0.0429 | reward 0.044 | solved   0.0%
step   21 | loss -0.0102 | reward 0.064 | solved   0.0%
step   22 | loss +0.0324 | reward 0.068 | solved   0.0%
step   23 | loss +0.0239 | reward 0.105 | solved   0.0%
step   24 | loss -0.0313 | reward 0.047 | solved   0.0%
step   25 | loss -0.0127 | reward 0.053 | solved   0.0%
step   26 | loss +0.0438 | reward 0.074 | solved   0.0%
step   27 | loss -0.0101 | reward 0.055 | solved   0.0%
step   28 | loss -0.0081 | reward 0.063 | solved   0.0%
step   29 | loss +0.0641 | reward 0.078 | solved   0.0%
step   30 | loss +0.0100 | reward 0.108 | solved   0.0%
step   31 | loss +0.0266 | reward 0.044 | solved   0.0%
step   32 | loss +0.0253 | reward 0.066 | solved   0.0%
step   33 | loss +0.0395 | reward 0.066 | solved   0.0%
step   34 | loss +0.0022 | reward 0.050 | solved   0.0%
step   35 | loss -0.0101 | reward 0.080 | solved   0.0%
step   36 | loss +0.0318 | reward 0.139 | solved   0.0%
step   37 | loss -0.0340 | reward 0.059 | solved   0.0%
step   38 | loss +0.0406 | reward 0.141 | solved   0.0%
step   39 | loss +0.0257 | reward 0.134 | solved   0.0%
step   40 | loss -0.0245 | reward 0.213 | solved   0.0%
step   41 | loss -0.0358 | reward 0.056 | solved   0.0%
step   42 | loss +0.0268 | reward 0.126 | solved   0.0%
step   43 | loss +0.0181 | reward 0.094 | solved   0.0%
step   44 | loss -0.0106 | reward 0.050 | solved   0.0%
step   45 | loss +0.0125 | reward 0.063 | solved   0.0%
