Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
step    0 | loss -0.0077 | reward 0.025 | solved   0.0%
step    1 | loss +0.2472 | reward 0.034 | solved   0.0%
step    2 | loss +0.0062 | reward 0.031 | solved   0.0%
step    3 | loss +0.0559 | reward 0.031 | solved   0.0%
step    4 | loss +0.0611 | reward 0.041 | solved   0.0%
step    5 | loss +0.0430 | reward 0.047 | solved   0.0%
step    6 | loss -0.0147 | reward 0.050 | solved   0.0%
step    7 | loss -0.0168 | reward 0.041 | solved   0.0%
step    8 | loss +0.0411 | reward 0.056 | solved   0.0%
step    9 | loss +0.0730 | reward 0.050 | solved   0.0%
step   10 | loss +0.0218 | reward 0.044 | solved   0.0%
step   11 | loss +0.0392 | reward 0.041 | solved   0.0%
step   12 | loss +0.0781 | reward 0.050 | solved   0.0%
step   13 | loss -0.0005 | reward 0.053 | solved   0.0%
step   14 | loss +0.2481 | reward 0.050 | solved   0.0%
step   15 | loss -0.0015 | reward 0.044 | solved   0.0%
step   16 | loss +0.0234 | reward 0.059 | solved   0.0%
step   17 | loss +0.0485 | reward 0.078 | solved   0.0%
step   18 | loss -0.0073 | reward 0.059 | solved   0.0%
step   19 | loss +0.0026 | reward 0.050 | solved   0.0%
step   20 | loss +0.0189 | reward 0.050 | solved   0.0%
step   21 | loss +0.0267 | reward 0.056 | solved   0.0%
step   22 | loss +0.0682 | reward 0.056 | solved   0.0%
step   23 | loss +0.0922 | reward 0.066 | solved   0.0%
step   24 | loss +0.0264 | reward 0.047 | solved   0.0%
step   25 | loss -0.0076 | reward 0.053 | solved   0.0%
step   26 | loss +0.0472 | reward 0.072 | solved   0.0%
step   27 | loss -0.0365 | reward 0.062 | solved   0.0%
step   28 | loss +0.0076 | reward 0.066 | solved   0.0%
step   29 | loss +0.0214 | reward 0.078 | solved   0.0%
step   30 | loss -0.0168 | reward 0.084 | solved   0.0%
step   31 | loss +0.0035 | reward 0.050 | solved   0.0%
