Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
step    0 | loss +0.1108 | reward 0.025 | solved   0.0%
step    1 | loss +0.0334 | reward 0.028 | solved   0.0%
step    2 | loss +0.3979 | reward 0.047 | solved   0.0%
step    3 | loss +0.0741 | reward 0.041 | solved   0.0%
step    4 | loss +0.1541 | reward 0.091 | solved   6.2%
step    5 | loss +0.0573 | reward 0.034 | solved   0.0%
step    6 | loss +0.0321 | reward 0.044 | solved   0.0%
step    7 | loss +0.0901 | reward 0.044 | solved   0.0%
step    8 | loss +0.0866 | reward 0.062 | solved   0.0%
step    9 | loss +0.0297 | reward 0.069 | solved   0.0%
step   10 | loss +0.0640 | reward 0.062 | solved   0.0%
step   11 | loss +0.0561 | reward 0.047 | solved   0.0%
step   12 | loss -0.0253 | reward 0.044 | solved   0.0%
step   13 | loss -0.0135 | reward 0.047 | solved   0.0%
step   14 | loss +0.0258 | reward 0.062 | solved   0.0%
step   15 | loss -0.0190 | reward 0.053 | solved   0.0%
step   16 | loss +0.0833 | reward 0.066 | solved   0.0%
step   17 | loss +0.4184 | reward 0.062 | solved   0.0%
step   18 | loss +0.1315 | reward 0.050 | solved   0.0%
step   19 | loss +0.0505 | reward 0.056 | solved   0.0%
step   20 | loss +0.0468 | reward 0.053 | solved   0.0%
step   21 | loss -0.0197 | reward 0.062 | solved   0.0%
step   22 | loss +0.0265 | reward 0.056 | solved   0.0%
step   23 | loss +0.0453 | reward 0.072 | solved   0.0%
step   24 | loss +0.0031 | reward 0.050 | solved   0.0%
step   25 | loss +0.0845 | reward 0.062 | solved   0.0%
step   26 | loss +0.0441 | reward 0.072 | solved   0.0%
step   27 | loss +0.4218 | reward 0.047 | solved   0.0%
step   28 | loss +0.0060 | reward 0.066 | solved   0.0%
step   29 | loss +0.5235 | reward 0.081 | solved   0.0%
step   30 | loss +0.0273 | reward 0.050 | solved   0.0%
step   31 | loss +0.0148 | reward 0.041 | solved   0.0%
step   32 | loss +0.1943 | reward 0.044 | solved   0.0%
step   33 | loss -0.0321 | reward 0.053 | solved   0.0%
step   34 | loss +0.4012 | reward 0.041 | solved   0.0%
step   35 | loss +0.0092 | reward 0.078 | solved   0.0%
step   36 | loss +0.0587 | reward 0.078 | solved   0.0%
step   37 | loss -0.0065 | reward 0.069 | solved   0.0%
step   38 | loss +0.0788 | reward 0.075 | solved   0.0%
step   39 | loss +0.1183 | reward 0.069 | solved   0.0%
step   40 | loss +0.2769 | reward 0.069 | solved   0.0%
step   41 | loss -0.0127 | reward 0.053 | solved   0.0%
step   42 | loss +0.0425 | reward 0.056 | solved   0.0%
step   43 | loss +0.0309 | reward 0.066 | solved   0.0%
step   44 | loss -0.0221 | reward 0.053 | solved   0.0%
step   45 | loss +0.0092 | reward 0.056 | solved   0.0%
step   46 | loss +0.0610 | reward 0.062 | solved   0.0%
step   47 | loss +0.0724 | reward 0.059 | solved   0.0%
step   48 | loss -0.0309 | reward 0.059 | solved   0.0%
step   49 | loss +0.0220 | reward 0.069 | solved   0.0%
step   50 | loss +0.0279 | reward 0.066 | solved   0.0%
step   51 | loss +0.0518 | reward 0.053 | solved   0.0%
step   52 | loss +0.0145 | reward 0.066 | solved   0.0%
step   53 | loss +0.0075 | reward 0.075 | solved   0.0%
step   54 | loss +0.0408 | reward 0.053 | solved   0.0%
step   55 | loss +0.0640 | reward 0.069 | solved   0.0%
step   56 | loss +0.0620 | reward 0.122 | solved   6.2%
step   57 | loss -0.0000 | reward 0.066 | solved   0.0%
step   58 | loss +0.3261 | reward 0.050 | solved   0.0%
step   59 | loss +0.0864 | reward 0.062 | solved   0.0%
step   60 | loss -0.0503 | reward 0.059 | solved   0.0%
step   61 | loss +0.0605 | reward 0.091 | solved   0.0%
step   62 | loss +0.0349 | reward 0.069 | solved   0.0%
step   63 | loss +0.0047 | reward 0.075 | solved   0.0%
step   64 | loss +0.0238 | reward 0.062 | solved   0.0%
step   65 | loss +0.0013 | reward 0.050 | solved   0.0%
step   66 | loss +0.0908 | reward 0.069 | solved   0.0%
step   67 | loss +0.0051 | reward 0.050 | solved   0.0%
step   68 | loss +0.0916 | reward 0.056 | solved   0.0%
step   69 | loss +0.0430 | reward 0.053 | solved   0.0%
step   70 | loss +0.0374 | reward 0.091 | solved   0.0%
step   71 | loss +0.0019 | reward 0.075 | solved   0.0%
step   72 | loss +0.0117 | reward 0.047 | solved   0.0%
step   73 | loss +0.0597 | reward 0.075 | solved   0.0%
step   74 | loss +0.1584 | reward 0.047 | solved   0.0%
step   75 | loss -0.0052 | reward 0.059 | solved   0.0%
step   76 | loss -0.0166 | reward 0.050 | solved   0.0%
step   77 | loss +0.0005 | reward 0.059 | solved   0.0%
step   78 | loss +0.0425 | reward 0.084 | solved   0.0%
step   79 | loss -0.0054 | reward 0.062 | solved   0.0%
step   80 | loss +0.0582 | reward 0.078 | solved   0.0%
step   81 | loss -0.0179 | reward 0.078 | solved   0.0%
step   82 | loss -0.0391 | reward 0.069 | solved   0.0%
step   83 | loss +0.0147 | reward 0.075 | solved   0.0%
step   84 | loss -0.0300 | reward 0.050 | solved   0.0%
step   85 | loss -0.0017 | reward 0.116 | solved   6.2%
step   86 | loss +0.0673 | reward 0.069 | solved   0.0%
step   87 | loss +0.0686 | reward 0.072 | solved   0.0%
step   88 | loss +0.2228 | reward 0.141 | solved   6.2%
step   89 | loss +0.0645 | reward 0.128 | solved   6.2%
step   90 | loss +0.0578 | reward 0.075 | solved   0.0%
step   91 | loss +0.0398 | reward 0.088 | solved   0.0%
step   92 | loss +0.0487 | reward 0.069 | solved   0.0%
step   93 | loss +0.0395 | reward 0.109 | solved   6.2%
step   94 | loss +0.0467 | reward 0.081 | solved   0.0%
step   95 | loss +0.0578 | reward 0.128 | solved   6.2%
step   96 | loss +0.0970 | reward 0.091 | solved   0.0%
step   97 | loss +0.4831 | reward 0.050 | solved   0.0%
step   98 | loss -0.2228 | reward 0.053 | solved   0.0%
step   99 | loss +0.2516 | reward 0.059 | solved   0.0%
step  100 | loss +0.5248 | reward 0.044 | solved   0.0%
step  101 | loss +0.4057 | reward 0.066 | solved   0.0%
