Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
step    0 | loss +0.2914 | reward 0.025 | solved   0.0%
step    1 | loss +0.0396 | reward 0.034 | solved   0.0%
step    2 | loss -0.0197 | reward 0.028 | solved   0.0%
step    3 | loss +0.0124 | reward 0.038 | solved   0.0%
step    4 | loss +0.2021 | reward 0.038 | solved   0.0%
step    5 | loss +0.0027 | reward 0.047 | solved   0.0%
step    6 | loss +0.0171 | reward 0.041 | solved   0.0%
step    7 | loss +0.0540 | reward 0.041 | solved   0.0%
step    8 | loss +0.0613 | reward 0.072 | solved   0.0%
step    9 | loss +0.0241 | reward 0.047 | solved   0.0%
step   10 | loss +0.0234 | reward 0.050 | solved   0.0%
step   11 | loss +0.0666 | reward 0.066 | solved   0.0%
step   12 | loss +0.0686 | reward 0.056 | solved   0.0%
step   13 | loss +0.0251 | reward 0.059 | solved   0.0%
step   14 | loss -0.0467 | reward 0.047 | solved   0.0%
step   15 | loss +0.0435 | reward 0.047 | solved   0.0%
step   16 | loss +0.0489 | reward 0.072 | solved   0.0%
step   17 | loss -0.0124 | reward 0.047 | solved   0.0%
step   18 | loss +0.0301 | reward 0.053 | solved   0.0%
step   19 | loss +0.0358 | reward 0.062 | solved   0.0%
step   20 | loss +0.0502 | reward 0.053 | solved   0.0%
step   21 | loss +0.0254 | reward 0.044 | solved   0.0%
step   22 | loss +0.1327 | reward 0.072 | solved   0.0%
step   23 | loss +0.0395 | reward 0.047 | solved   0.0%
step   24 | loss +0.0061 | reward 0.050 | solved   0.0%
step   25 | loss +0.0242 | reward 0.047 | solved   0.0%
step   26 | loss +0.0692 | reward 0.066 | solved   0.0%
step   27 | loss +0.0014 | reward 0.050 | solved   0.0%
step   28 | loss +0.0741 | reward 0.088 | solved   0.0%
step   29 | loss -0.0341 | reward 0.069 | solved   0.0%
step   30 | loss -0.0109 | reward 0.047 | solved   0.0%
step   31 | loss +0.0040 | reward 0.059 | solved   0.0%
step   32 | loss +0.0768 | reward 0.081 | solved   0.0%
step   33 | loss +0.0656 | reward 0.072 | solved   0.0%
step   34 | loss +0.0498 | reward 0.062 | solved   0.0%
step   35 | loss +0.0184 | reward 0.081 | solved   0.0%
step   36 | loss -0.0553 | reward 0.062 | solved   0.0%
step   37 | loss -0.0101 | reward 0.047 | solved   0.0%
step   38 | loss +0.0055 | reward 0.050 | solved   0.0%
step   39 | loss +0.0039 | reward 0.050 | solved   0.0%
step   40 | loss +0.0778 | reward 0.059 | solved   0.0%
step   41 | loss +0.0043 | reward 0.050 | solved   0.0%
step   42 | loss -0.0232 | reward 0.066 | solved   0.0%
step   43 | loss +0.0045 | reward 0.075 | solved   0.0%
step   44 | loss +0.0429 | reward 0.069 | solved   0.0%
step   45 | loss +0.0595 | reward 0.053 | solved   0.0%
step   46 | loss +0.1262 | reward 0.081 | solved   0.0%
step   47 | loss +0.0426 | reward 0.075 | solved   0.0%
step   48 | loss +0.0397 | reward 0.047 | solved   0.0%
step   49 | loss +0.0025 | reward 0.050 | solved   0.0%
step   50 | loss +0.0398 | reward 0.059 | solved   0.0%
step   51 | loss +0.0028 | reward 0.050 | solved   0.0%
step   52 | loss +0.0088 | reward 0.206 | solved  12.5%
step   53 | loss +0.0221 | reward 0.081 | solved   0.0%
step   54 | loss +0.0053 | reward 0.062 | solved   0.0%
step   55 | loss +0.0029 | reward 0.050 | solved   0.0%
step   56 | loss -0.0517 | reward 0.062 | solved   0.0%
step   57 | loss +0.0450 | reward 0.062 | solved   0.0%
step   58 | loss +0.0843 | reward 0.075 | solved   0.0%
step   59 | loss +0.0128 | reward 0.078 | solved   0.0%
step   60 | loss -0.0346 | reward 0.066 | solved   0.0%
step   61 | loss +0.0346 | reward 0.091 | solved   0.0%
step   62 | loss +0.0041 | reward 0.050 | solved   0.0%
step   63 | loss +0.0707 | reward 0.097 | solved   6.2%
step   64 | loss -0.0196 | reward 0.078 | solved   0.0%
step   65 | loss -0.0177 | reward 0.066 | solved   0.0%
step   66 | loss +0.0090 | reward 0.069 | solved   0.0%
step   67 | loss -0.0399 | reward 0.059 | solved   0.0%
step   68 | loss +0.0020 | reward 0.050 | solved   0.0%
step   69 | loss +0.0041 | reward 0.050 | solved   0.0%
step   70 | loss +0.0636 | reward 0.091 | solved   0.0%
step   71 | loss -0.0282 | reward 0.066 | solved   0.0%
step   72 | loss +0.0548 | reward 0.075 | solved   0.0%
step   73 | loss +0.0920 | reward 0.078 | solved   0.0%
step   74 | loss +0.0887 | reward 0.038 | solved   0.0%
step   75 | loss -0.0043 | reward 0.069 | solved   0.0%
step   76 | loss +0.0329 | reward 0.144 | solved   6.2%
step   77 | loss +0.0256 | reward 0.200 | solved  12.5%
step   78 | loss +0.0043 | reward 0.050 | solved   0.0%
step   79 | loss +0.0755 | reward 0.081 | solved   0.0%
step   80 | loss +0.0592 | reward 0.084 | solved   0.0%
step   81 | loss -0.0477 | reward 0.081 | solved   0.0%
step   82 | loss +0.0598 | reward 0.047 | solved   0.0%
step   83 | loss +0.2199 | reward 0.044 | solved   0.0%
step   84 | loss -0.0548 | reward 0.047 | solved   0.0%
step   85 | loss +0.0218 | reward 0.078 | solved   0.0%
step   86 | loss +0.0573 | reward 0.053 | solved   0.0%
step   87 | loss +0.0312 | reward 0.088 | solved   0.0%
step   88 | loss -0.0505 | reward 0.062 | solved   0.0%
step   89 | loss -0.1289 | reward 0.047 | solved   0.0%
step   90 | loss +0.3302 | reward 0.047 | solved   0.0%
step   91 | loss +0.0029 | reward 0.066 | solved   0.0%
step   92 | loss +0.1135 | reward 0.062 | solved   0.0%
step   93 | loss +0.0012 | reward 0.050 | solved   0.0%
step   94 | loss +0.2307 | reward 0.031 | solved   0.0%
step   95 | loss -0.0541 | reward 0.072 | solved   0.0%
step   96 | loss +0.0063 | reward 0.056 | solved   0.0%
step   97 | loss -0.0081 | reward 0.047 | solved   0.0%
step   98 | loss -0.0480 | reward 0.069 | solved   0.0%
step   99 | loss +0.0054 | reward 0.144 | solved   6.2%
step  100 | loss +0.0019 | reward 0.094 | solved   0.0%
step  101 | loss +0.0033 | reward 0.050 | solved   0.0%
step  102 | loss +0.0026 | reward 0.050 | solved   0.0%
step  103 | loss +0.0014 | reward 0.050 | solved   0.0%
step  104 | loss -0.0687 | reward 0.062 | solved   0.0%
step  105 | loss -0.0238 | reward 0.091 | solved   0.0%
step  106 | loss -0.0127 | reward 0.075 | solved   0.0%
step  107 | loss +0.0640 | reward 0.081 | solved   0.0%
step  108 | loss -0.0092 | reward 0.047 | solved   0.0%
step  109 | loss +0.0076 | reward 0.047 | solved   0.0%
step  110 | loss +0.0336 | reward 0.075 | solved   0.0%
step  111 | loss +0.0015 | reward 0.050 | solved   0.0%
step  112 | loss +0.0504 | reward 0.066 | solved   0.0%
step  113 | loss -0.0232 | reward 0.047 | solved   0.0%
step  114 | loss +0.0144 | reward 0.144 | solved   6.2%
step  115 | loss +0.0040 | reward 0.050 | solved   0.0%
step  116 | loss +0.0334 | reward 0.066 | solved   0.0%
step  117 | loss -0.0055 | reward 0.062 | solved   0.0%
step  118 | loss +0.0509 | reward 0.056 | solved   0.0%
step  119 | loss +0.0965 | reward 0.047 | solved   0.0%
step  120 | loss -0.0036 | reward 0.056 | solved   0.0%
step  121 | loss -0.0354 | reward 0.066 | solved   0.0%
step  122 | loss +0.0545 | reward 0.059 | solved   0.0%
step  123 | loss +0.0994 | reward 0.075 | solved   0.0%
step  124 | loss +0.0724 | reward 0.081 | solved   0.0%
step  125 | loss +0.0440 | reward 0.047 | solved   0.0%
step  126 | loss +0.0554 | reward 0.084 | solved   0.0%
step  127 | loss +0.0027 | reward 0.050 | solved   0.0%
step  128 | loss +0.0819 | reward 0.075 | solved   0.0%
step  129 | loss +0.0137 | reward 0.059 | solved   0.0%
step  130 | loss +0.0095 | reward 0.047 | solved   0.0%
step  131 | loss +0.0048 | reward 0.050 | solved   0.0%
step  132 | loss +0.0232 | reward 0.125 | solved   6.2%
step  133 | loss +0.0030 | reward 0.050 | solved   0.0%
step  134 | loss -0.0106 | reward 0.047 | solved   0.0%
step  135 | loss -0.0057 | reward 0.047 | solved   0.0%
step  136 | loss +0.0011 | reward 0.050 | solved   0.0%
step  137 | loss -0.0229 | reward 0.078 | solved   0.0%
step  138 | loss -0.0130 | reward 0.047 | solved   0.0%
step  139 | loss +0.0013 | reward 0.050 | solved   0.0%
step  140 | loss +0.0570 | reward 0.081 | solved   0.0%
step  141 | loss -0.0390 | reward 0.081 | solved   0.0%
step  142 | loss +0.0301 | reward 0.047 | solved   0.0%
step  143 | loss +0.0224 | reward 0.091 | solved   0.0%
step  144 | loss +0.0148 | reward 0.044 | solved   0.0%
step  145 | loss +0.0616 | reward 0.109 | solved   6.2%
step  146 | loss +0.0709 | reward 0.081 | solved   0.0%
step  147 | loss +0.0657 | reward 0.078 | solved   0.0%
step  148 | loss +0.0039 | reward 0.050 | solved   0.0%
step  149 | loss +0.0877 | reward 0.075 | solved   0.0%
step  150 | loss +0.0015 | reward 0.050 | solved   0.0%
step  151 | loss -0.0563 | reward 0.066 | solved   0.0%
step  152 | loss +0.0570 | reward 0.109 | solved   6.2%
step  153 | loss -0.0063 | reward 0.059 | solved   0.0%
step  154 | loss +0.0491 | reward 0.050 | solved   0.0%
step  155 | loss -0.0731 | reward 0.066 | solved   0.0%
step  156 | loss +0.0365 | reward 0.078 | solved   0.0%
step  157 | loss +0.0000 | reward 0.062 | solved   0.0%
