Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
step    0 | loss +0.1679 | reward 0.034 | solved   0.0%
step    1 | loss +0.2146 | reward 0.041 | solved   0.0%
step    2 | loss +0.1494 | reward 0.025 | solved   0.0%
step    3 | loss +0.3000 | reward 0.028 | solved   0.0%
step    4 | loss +0.3973 | reward 0.019 | solved   0.0%
step    5 | loss +0.1299 | reward 0.044 | solved   0.0%
step    6 | loss +0.0698 | reward 0.034 | solved   0.0%
step    7 | loss +0.6388 | reward 0.044 | solved   0.0%
step    8 | loss +0.2599 | reward 0.038 | solved   0.0%
step    9 | loss +0.3211 | reward 0.028 | solved   0.0%
step   10 | loss +0.2536 | reward 0.025 | solved   0.0%
step   11 | loss +0.3675 | reward 0.038 | solved   0.0%
step   12 | loss +0.0802 | reward 0.019 | solved   0.0%
step   13 | loss +0.5095 | reward 0.025 | solved   0.0%
step   14 | loss +0.1116 | reward 0.047 | solved   0.0%
step   15 | loss +0.2399 | reward 0.025 | solved   0.0%
step   16 | loss +0.1835 | reward 0.047 | solved   0.0%
step   17 | loss +0.1575 | reward 0.041 | solved   0.0%
step   18 | loss +0.3906 | reward 0.034 | solved   0.0%
step   19 | loss +0.0096 | reward 0.028 | solved   0.0%
step   20 | loss +0.5642 | reward 0.031 | solved   0.0%
step   21 | loss +0.1367 | reward 0.028 | solved   0.0%
step   22 | loss +0.3357 | reward 0.038 | solved   0.0%
step   23 | loss +0.2065 | reward 0.034 | solved   0.0%
step   24 | loss +0.0183 | reward 0.028 | solved   0.0%
step   25 | loss +0.2421 | reward 0.050 | solved   0.0%
step   26 | loss +0.0981 | reward 0.103 | solved   6.2%
step   27 | loss +0.3283 | reward 0.047 | solved   0.0%
step   28 | loss +0.0389 | reward 0.047 | solved   0.0%
step   29 | loss +0.2798 | reward 0.031 | solved   0.0%
step   30 | loss +0.0697 | reward 0.047 | solved   0.0%
step   31 | loss +0.0374 | reward 0.028 | solved   0.0%
step   32 | loss +0.0829 | reward 0.053 | solved   0.0%
step   33 | loss +0.1824 | reward 0.038 | solved   0.0%
step   34 | loss +0.0362 | reward 0.038 | solved   0.0%
step   35 | loss +0.1697 | reward 0.047 | solved   0.0%
step   36 | loss +0.0936 | reward 0.053 | solved   0.0%
step   37 | loss +0.2718 | reward 0.050 | solved   0.0%
step   38 | loss +0.0287 | reward 0.116 | solved   6.2%
step   39 | loss +0.0043 | reward 0.056 | solved   0.0%
step   40 | loss -0.0034 | reward 0.053 | solved   0.0%
