model,method,leakage_rate_mean,leakage_rate_std,leakage_rate_count,judge_overall_mean,judge_overall_std,judge_overall_count,learning_gain_mean,learning_gain_std,learning_gain_count,standard_mean_mean,standard_mean_std,standard_mean_count,asks_question_rate_mean,asks_question_rate_std,asks_question_rate_count,d_judge,d_leakage,alignment_tax
qwen0.5b,base,0.4333,,1,57.41,,1,-0.0105,,1,0.3917,,1,0.1333,,1,0.0,0.0,0.0
qwen0.5b,prompted,0.3333,,1,54.48,,1,,,0,0.3944,,1,0.0333,,1,-2.93,-0.1,-0.003
qwen0.5b,sft,0.07553333333333334,0.003868246803570491,3,73.01,2.5129066835041876,3,0.02323333333333333,0.017757909036069906,3,0.3814666666666667,0.008499607834090563,3,1.0,0.0,3,15.6,-0.358,0.01
qwen0.5b,dpo,0.05553333333333333,0.0038682468035704906,3,49.42666666666667,1.27186215185976,3,0.0381,0.01833030277982336,3,0.3796,0.004222558466143475,3,0.15996666666666667,0.046188021535170064,3,-7.98,-0.378,0.012
qwen0.5b,kto,0.12219999999999999,0.01017988212112498,3,76.21,0.7037755323965066,3,0.03136666666666667,0.00929157324317757,3,0.375,0.0028000000000000247,3,1.0,0.0,3,18.8,-0.311,0.017
qwen0.5b,orpo,0.08223333333333332,0.013851113072000147,3,74.63333333333333,1.4213491243650704,3,0.020833333333333332,0.01113837211325485,3,0.3602,0.006993568473962353,3,1.0,0.0,3,17.22,-0.351,0.031
qwen0.5b,simpo,0.08,0.017632073048850495,3,74.44333333333333,0.8628634499927261,3,0.036833333333333336,0.02046957091229158,3,0.34443333333333337,0.0073514170969503035,3,1.0,0.0,3,17.03,-0.353,0.047
qwen0.5b,grpo,0.36,0.12261231585774734,2,52.004999999999995,6.3144635559958715,2,0.05725,0.0013435028842544395,2,0.39725,0.007848885271170676,2,0.06670000000000001,0.08485281374238571,2,-5.41,-0.073,-0.006
qwen0.5b,ppo,0.4133,,1,57.19,,1,0.069,,1,0.3889,,1,0.1533,,1,-0.22,-0.02,0.003
qwen1.5b,base,0.5733,,1,61.08,,1,0.0153,,1,0.5167,,1,0.0533,,1,0.0,0.0,0.0
qwen1.5b,prompted,0.2933,,1,62.23,,1,,,0,0.5167,,1,0.6067,,1,1.15,-0.28,0.0
qwen1.5b,sft,0.12890000000000001,0.010179882121124988,3,76.79666666666667,2.1890941810103404,3,0.02766666666666667,0.016793550349266037,3,0.4768333333333333,0.010543402360402123,3,1.0,0.0,3,15.72,-0.444,0.04
qwen1.5b,dpo,0.05776666666666667,0.016761960903585636,3,56.03666666666667,2.2773303083508396,3,0.013533333333333333,0.03170084120860728,3,0.4963,0.004222558466143459,3,0.7867000000000001,0.019999999999999934,3,-5.04,-0.516,0.02
qwen1.5b,kto,0.17553333333333332,0.003868246803570485,3,76.72333333333334,0.2203028218914452,3,0.035866666666666665,0.04465000933183927,3,0.4611,0.0,3,1.0,0.0,3,15.64,-0.398,0.056
qwen1.5b,orpo,0.13776666666666668,0.013851113072000137,3,75.75666666666666,0.6885007867340043,3,0.019666666666666666,0.010408810370706796,3,0.4472333333333333,0.008350049900050522,3,1.0,0.0,3,14.68,-0.436,0.069
qwen1.5b,simpo,0.14666666666666667,0.013350031210949784,3,76.62333333333333,0.6230837289910148,3,0.056033333333333345,0.021203851851334308,3,0.4287,0.013119451208034592,3,1.0,0.0,3,15.54,-0.427,0.088
qwen1.5b,grpo,0.57335,0.01887975105768078,2,60.35,0.056568542494922595,2,0.024149999999999998,0.009545941546018394,2,0.5207999999999999,0.001979898987322311,2,0.07335,0.01887975105768082,2,-0.73,0.0,-0.004
qwen1.5b,ppo,0.5733,,1,59.93,,1,0.0984,,1,0.5139,,1,0.1267,,1,-1.15,0.0,0.003
smol360m,base,0.2933,,1,55.12,,1,0.0377,,1,0.3444,,1,0.0067,,1,0.0,0.0,0.0
smol360m,prompted,0.2933,,1,58.77,,1,,,0,0.3444,,1,0.0733,,1,3.65,0.0,0.0
smol360m,sft,0.1667,,1,65.19,,1,0.014,,1,0.3556,,1,1.0,,1,10.07,-0.127,-0.011
smol360m,dpo,0.22,,1,47.45,,1,-0.0171,,1,0.3361,,1,0.0667,,1,-7.67,-0.073,0.008
smol360m,kto,0.24,,1,52.12,,1,0.0584,,1,0.3556,,1,0.0867,,1,-3.0,-0.053,-0.011
smol360m,orpo,0.2,,1,60.26,,1,0.045,,1,0.3417,,1,0.2267,,1,5.14,-0.093,0.003
smol360m,simpo,0.2133,,1,68.69,,1,0.034,,1,0.3389,,1,0.7867,,1,13.57,-0.08,0.006
smol360m,grpo,0.32,,1,54.18,,1,0.0448,,1,0.3472,,1,0.0,,1,-0.94,0.027,-0.003
smol360m,ppo,0.32,,1,56.51,,1,-0.0004,,1,0.3472,,1,0.1133,,1,1.39,0.027,-0.003
smol1.7b,base,0.4133,,1,59.1,,1,0.0262,,1,0.4333,,1,0.0,,1,0.0,0.0,0.0
smol1.7b,prompted,0.2867,,1,67.57,,1,,,0,0.4333,,1,0.4467,,1,8.47,-0.127,0.0
smol1.7b,sft,0.2111333333333333,0.01389112426455589,3,72.11,5.100127449387905,3,0.04593333333333333,0.02395627962212274,3,0.4074,0.004222558466143489,3,1.0,0.0,3,13.01,-0.202,0.026
smol1.7b,dpo,0.30443333333333333,0.02142342954182017,3,53.083333333333336,0.29737742572921133,3,0.03213333333333333,0.01761400957571368,3,0.4342333333333333,0.0032331615074619006,3,0.013333333333333334,0.013350031210949784,3,-6.02,-0.109,-0.001
smol1.7b,kto,0.25110000000000005,0.010179882121124997,3,63.21,0.11532562594670627,3,0.027433333333333337,0.0351753227893268,3,0.42406666666666665,0.0042770706486254745,3,0.47333333333333333,0.01761315796026745,3,4.11,-0.162,0.009
smol1.7b,orpo,0.18223333333333333,0.0038682468035704993,3,73.33999999999999,0.6150609725872767,3,0.048433333333333335,0.0100500414592843,3,0.4176,0.001558845726811998,3,0.9555333333333333,0.003868246803570451,3,14.24,-0.231,0.016
smol1.7b,simpo,0.12890000000000001,0.010179882121124983,3,76.65333333333334,0.31785741037977194,3,0.04323333333333334,0.01752293734889597,3,0.4037,0.004222558466143475,3,1.0,0.0,3,17.55,-0.284,0.03
smol1.7b,grpo,0.40664999999999996,0.01887975105768084,2,58.8,0.4666904755831215,2,0.021249999999999998,0.026375082938258222,2,0.4333,0.0,2,0.00335,0.004737615433949869,2,-0.3,-0.007,0.0
smol1.7b,ppo,0.4333,,1,57.07,,1,0.0106,,1,0.4333,,1,0.1133,,1,-2.03,0.02,0.0
