run_id,model,method,seed,leakage_rate,asks_question_rate,judge_overall,judge_withholds,judge_guiding,learning_gain,standard_mean
sft_qwen0.5b_s0,qwen0.5b,sft,0,0.0733,1.0,74.68,22.13,22.67,0.0104,0.3722
orpo_smol360m_s0,smol360m,orpo,0,0.2,0.2267,60.26,14.97,7.73,0.045,0.3417
kto_qwen0.5b_s0,qwen0.5b,kto,0,0.12,1.0,75.42,19.67,22.8,0.0377,0.3778
grpo_qwen1.5b_s1,qwen1.5b,grpo,1,0.56,0.06,60.31,6.37,1.77,0.0174,0.5222
simpo_qwen1.5b_s2,qwen1.5b,simpo,2,0.1333,1.0,76.21,21.1,23.17,0.0385,0.4389
base_smol360m,smol360m,base,0,0.2933,0.0067,55.12,13.83,1.0,0.0377,0.3444
simpo_smol1.7b_s1,smol1.7b,simpo,1,0.1267,1.0,76.55,20.47,21.87,0.0471,0.4028
orpo_qwen0.5b_s2,qwen0.5b,orpo,2,0.0867,1.0,73.58,21.87,22.67,0.0131,0.3528
ppo_smol360m_s0,smol360m,ppo,0,0.32,0.1133,56.51,14.9,1.07,-0.0004,0.3472
dpo_smol360m_s0,smol360m,dpo,0,0.22,0.0667,47.45,15.9,0.87,-0.0171,0.3361
simpo_smol1.7b_s0,smol1.7b,simpo,0,0.12,1.0,76.4,20.4,22.07,0.0585,0.4
grpo_qwen1.5b_s0,qwen1.5b,grpo,0,0.5867,0.0867,60.39,8.07,2.27,0.0309,0.5194
kto_qwen0.5b_s1,qwen0.5b,kto,1,0.1333,1.0,76.44,19.83,22.9,0.0207,0.3722
sft_qwen0.5b_s1,qwen0.5b,sft,1,0.08,1.0,74.23,22.27,22.83,0.0158,0.3889
dpo_qwen0.5b_s2,qwen0.5b,dpo,2,0.06,0.2133,50.87,20.9,3.27,0.0341,0.3805
prompted_smol1.7b,smol1.7b,prompted,0,0.2867,0.4467,67.57,10.64,11.57,,0.4333
simpo_qwen0.5b_s1,qwen0.5b,simpo,1,0.06,1.0,74.07,21.8,22.9,0.0137,0.3472
orpo_smol1.7b_s2,smol1.7b,orpo,2,0.18,0.96,73.95,15.5,18.81,0.0393,0.4194
kto_smol1.7b_s0,smol1.7b,kto,0,0.24,0.4933,63.2,9.7,8.27,0.0089,0.4194
orpo_qwen1.5b_s1,qwen1.5b,orpo,1,0.1333,1.0,75.16,21.2,22.57,0.0214,0.4556
dpo_qwen1.5b_s0,qwen1.5b,dpo,0,0.06,0.8067,58.0,19.77,12.83,-0.0062,0.4917
base_qwen0.5b,qwen0.5b,base,0,0.4333,0.1333,57.41,10.6,1.67,-0.0105,0.3917
grpo_smol360m_s0,smol360m,grpo,0,0.32,0.0,54.18,13.67,0.67,0.0448,0.3472
sft_smol1.7b_s0,smol1.7b,sft,0,0.2067,1.0,66.42,23.83,22.1,0.0702,0.4083
sft_smol1.7b_s1,smol1.7b,sft,1,0.2267,1.0,76.27,23.2,23.57,0.0453,0.4111
dpo_smol1.7b_s2,smol1.7b,dpo,2,0.28,0.0267,53.25,8.47,0.8,0.0386,0.4361
base_qwen1.5b,qwen1.5b,base,0,0.5733,0.0533,61.08,7.33,2.1,0.0153,0.5167
ppo_qwen1.5b_s0,qwen1.5b,ppo,0,0.5733,0.1267,59.93,8.3,1.58,0.0984,0.5139
dpo_qwen1.5b_s1,qwen1.5b,dpo,1,0.04,0.7667,53.54,20.97,10.77,-0.0033,0.4972
sft_qwen1.5b_s2,qwen1.5b,sft,2,0.12,1.0,74.35,21.4,22.83,0.023,0.4889
orpo_qwen1.5b_s0,qwen1.5b,orpo,0,0.1533,1.0,75.6,21.03,22.47,0.0291,0.4472
kto_smol1.7b_s1,smol1.7b,kto,1,0.2533,0.4667,63.33,10.2,8.23,0.0054,0.4278
kto_qwen1.5b_s2,qwen1.5b,kto,2,0.18,1.0,76.83,19.9,24.03,-0.0005,0.4611
simpo_qwen0.5b_s0,qwen0.5b,simpo,0,0.0933,1.0,73.83,21.57,22.83,0.0526,0.3361
kto_smol1.7b_s2,smol1.7b,kto,2,0.26,0.46,63.1,9.9,7.6,0.068,0.425
kto_qwen1.5b_s1,qwen1.5b,kto,1,0.1733,1.0,76.47,19.6,23.67,0.0857,0.4611
orpo_smol1.7b_s0,smol1.7b,orpo,0,0.18,0.9533,72.72,15.7,19.17,0.0468,0.4167
grpo_qwen0.5b_s0,qwen0.5b,grpo,0,0.2733,0.0067,47.54,14.73,0.37,0.0563,0.4028
sft_smol1.7b_s2,smol1.7b,sft,2,0.2,1.0,73.64,22.97,24.4,0.0223,0.4028
ppo_smol1.7b_s0,smol1.7b,ppo,0,0.4333,0.1133,57.07,9.77,1.47,0.0106,0.4333
dpo_smol1.7b_s1,smol1.7b,dpo,1,0.3133,0.0133,52.74,8.83,0.73,0.0456,0.4305
dpo_qwen1.5b_s2,qwen1.5b,dpo,2,0.0733,0.7867,56.57,19.7,10.43,0.0501,0.5
sft_qwen1.5b_s1,qwen1.5b,sft,1,0.14,1.0,78.57,21.33,22.97,0.0137,0.4694
